mean,title
4.43,"Shawshank Redemption, The (1994)"
4.16,Forrest Gump (1994)
4.2,Pulp Fiction (1994)
4.19,"Matrix, The (1999)"
4.16,"Silence of the Lambs, The (1991)"
4.23,Star Wars: Episode IV - A New Hope (1977)
4.03,Braveheart (1995)
4.27,Fight Club (1999)
4.22,Schindler's List (1993)
3.75,Jurassic Park (1993)
4.22,Star Wars: Episode V - The Empire Strikes Back (1980)
3.97,Terminator 2: Judgment Day (1991)
4.24,"Usual Suspects, The (1995)"
3.92,Toy Story (1995)
4.21,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
4.06,American Beauty (1999)
4.29,"Godfather, The (1972)"
4.11,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
4.14,Star Wars: Episode VI - Return of the Jedi (1983)
3.98,Seven (a.k.a. Se7en) (1995)
4.15,Saving Private Ryan (1998)
3.85,Apollo 13 (1995)
4.12,"Lord of the Rings: The Return of the King, The (2003)"
3.99,"Fugitive, The (1993)"
4.02,"Lord of the Rings: The Two Towers, The (2002)"
4.12,Fargo (1996)
3.98,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
3.89,"Sixth Sense, The (1999)"
3.45,Independence Day (a.k.a. ID4) (1996)
3.79,Aladdin (1992)
4.04,Back to the Future (1985)
3.94,"Lion King, The (1994)"
3.94,Gladiator (2000)
3.87,Shrek (2001)
4.12,Memento (2000)
3.43,Batman (1989)
4.24,"Dark Knight, The (2008)"
3.84,Dances with Wolves (1990)
3.5,True Lies (1994)
3.53,Speed (1994)
4.23,"Princess Bride, The (1987)"
4.07,Inception (2010)
3.97,Alien (1979)
3.49,Men in Black (a.k.a. MIB) (1997)
4.08,Good Will Hunting (1997)
3.54,Mission: Impossible (1996)
4.05,Indiana Jones and the Last Crusade (1989)
4.16,Monty Python and the Holy Grail (1975)
3.94,Groundhog Day (1993)
3.78,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
3.86,Die Hard (1988)
4.2,One Flew Over the Cuckoo's Nest (1975)
3.96,Finding Nemo (2003)
3.77,Beauty and the Beast (1991)
4.2,Reservoir Dogs (1992)
4.26,"Godfather: Part II, The (1974)"
4.16,Eternal Sunshine of the Spotless Mind (2004)
4.22,American History X (1998)
4.25,Goodfellas (1990)
4.02,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
3.96,Kill Bill: Vol. 1 (2003)
3.56,Die Hard: With a Vengeance (1995)
3.87,"Monsters, Inc. (2001)"
3.9,"Terminator, The (1984)"
4.1,Blade Runner (1982)
4.18,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
3.18,"Mask, The (1994)"
3.96,Aliens (1986)
3.7,X-Men (2000)
4.0,"Beautiful Mind, A (2001)"
3.04,Ace Ventura: Pet Detective (1994)
3.39,Mrs. Doubtfire (1993)
4.0,"Clockwork Orange, A (1971)"
3.84,"Incredibles, The (2004)"
3.41,Titanic (1997)
3.81,"Truman Show, The (1998)"
3.38,Stargate (1994)
